x,y
0,-2
0.125,-1.5
0.265625,-1.125
0.41796875,-0.84765625
0.556640625,-0.650390625
0.6787109375,-0.5087890625
0.79345703125,-0.40380859375
0.9111328125,-0.3251953125
1.02880859375,-0.24658203125
1.1494140625,-0.1943359375
1.283203125,-0.158203125
1.44140625,-0.13671875
1.625,-0.140625
1.8125,-0.1875
2,-0.25
2.1875,-0.3125
2.375,-0.390625
2.55859375,-0.45703125
2.716796875,-0.505859375
2.8505859375,-0.5400390625
2.97119140625,-0.56201171875
3.0888671875,-0.5693359375
3.20654296875,-0.57666015625
3.3212890625,-0.5693359375
3.443359375,-0.544921875
3.58203125,-0.49609375
3.734375,-0.40625
3.875,-0.25
4,0
