x,y
4,0
3.5,0.75
3.15625,1.40625
2.9296875,1.96875
2.78515625,2.4140625
2.693359375,2.765625
2.6376953125,3.05859375
2.611328125,3.31640625
2.5849609375,3.57421875
2.587890625,3.796875
2.61328125,4.0078125
2.6640625,4.21875
2.75,4.40625
2.875,4.5
3,4.5
3.125,4.5
3.25,4.40625
3.3359375,4.21875
3.38671875,4.0078125
3.412109375,3.796875
3.4150390625,3.57421875
3.388671875,3.31640625
3.3623046875,3.05859375
3.306640625,2.765625
3.21484375,2.4140625
3.0703125,1.96875
2.84375,1.40625
2.5,0.75
2,0
